Informasi nama, keahlian, jadwal, dan gaya bimbingan dosen

Nama Dosen Pembimbing	Keahlian	Jadwal Bimbingan	Gaya Bimbingan
Liliana S.T. M.Eng. Ph.D.	Computer Vision, Virtual Reality Game Development, Aritificial Intelligence.	Senin 16.00 - 18.00   Selasa 16.00 - 18.00	Liliana merupakan seorang dosen pembimbing yang tidak hanya fokus pada keperluan akademis mahasiswa bimbingan. Beliau cenderung juga membantu mahasiswa secara psikologis. Beliau siap mendengar keluh kesah mahasiswa bimbingan sekaligus memberikan solusi untuk itu.
Dr. Andi Wijaya S.Kom. M.T.	Data Science, Machine Learning, Big Data Analytics, Cloud Computing.	Jadwal Bimbingan: Rabu 14.00 - 16.00  Jumat 10.00 - 12.00	Dr. Andi sangat detail dan teliti dalam membimbing mahasiswa. Beliau selalu memastikan bahwa setiap mahasiswa memahami konsep dasar sebelum melanjutkan ke topik yang lebih kompleks. Beliau juga sangat terbuka untuk diskusi dan memberikan banyak referensi bacaan.
Prof. Budi Santoso S.T. M.Sc. Ph.D.	Network Security, Cybersecurity, Cryptography, Ethical Hacking.	Jadwal Bimbingan: Senin 09.00 - 11.00  Kamis 13.00 - 15.00	Prof. Budi dikenal sebagai dosen yang sangat disiplin dan tegas. Beliau menekankan pentingnya etika dalam penelitian dan selalu mendorong mahasiswa untuk berpikir kritis dan analitis. Beliau juga sering memberikan tantangan praktis untuk menguji pemahaman mahasiswa.
Ir. Citra Dewi M.T. Ph.D.	Software Engineering, Agile Development, Development Operational, Mobile Application Development.	Jadwal Bimbingan: Selasa 15.00 - 17.00  Jumat 14.00 - 16.00	Ir. Citra sangat mendukung dan selalu berusaha menciptakan lingkungan yang nyaman bagi mahasiswa. Beliau sering menggunakan pendekatan kolaboratif dalam bimbingan dan mendorong mahasiswa untuk bekerja dalam tim. Beliau juga sangat responsif terhadap pertanyaan dan masalah yang dihadapi mahasiswa.
Dr. Dedi Kurniawan S.T. M.Eng.	Artificial Intelligence, Natural Language Processing, Computer Vision, Robotics.	Jadwal Bimbingan: Rabu 10.00 - 12.00  Kamis 16.00 - 18.00	Dr. Dedi sangat inovatif dan selalu mendorong mahasiswa untuk berpikir out-of-the-box. Beliau sering memberikan proyek-proyek penelitian yang menantang dan relevan dengan perkembangan teknologi terkini. Beliau juga sangat mendukung pengembangan soft skills mahasiswa.
Prof. Eko Prasetyo S.Kom. M.Sc. Ph.D.	Web Development, Internet of Things, Cloud Computing, Blockchain Technology.	Jadwal Bimbingan: Senin 13.00 - 15.00  Kamis 09.00 - 11.00	Prof. Eko sangat berorientasi pada hasil dan selalu mendorong mahasiswa untuk mencapai target penelitian mereka. Beliau sering memberikan feedback konstruktif dan membantu mahasiswa dalam merencanakan langkah-langkah penelitian mereka. Beliau juga sangat mendukung penggunaan teknologi terbaru dalam penelitian.
Ir. Resmana Lim M.Eng.	Electrical Engineering, Internet of Things, Computer Architecture, Computer Theory	Jadwal Bimbingan: Senin 13.00 - 15.00  Kamis 09.00 - 11.00	 



Informasi publikasi dosen

Nama Dosen	Judul Paper	Abstrak/Preview	Jenis	Tahun	Tag
	Sequential Pattern Mining Application to Support Customer Care “X” Clinic	The X clinic that was one of the pioneers in the aesthetics clinic in Indonesia, had much experienced manpower. In a supplied manner this experience, the doctors and the nurse could to the X clinic serve consultations and could give the suggestion or the recommendation to the customer for the following maintenance. This matter gave comfort for the customer to take the decision. However, not all the customers had time that was enough to consult with the doctor. With used Free Span, one of the algorithms in the method sequential pattern mining was expected to be able to satisfy the requirement for the clinic customer of X. The use of sequential pattern mining in this recommendation system could help the doctor in increasing the recommendation, and helping the customer in taking the decision. This algorithm used the historic data the maintenance of the available customer	Konferensi	2015	Sequential pattern mining, Free Span, Clinic
	Analisis Risiko Terhadap Business Continuity di PT. X	The X clinic that was one of the pioneers in the aesthetics clinic in Indonesia, had much experienced manpower. In a supplied manner this experience, the doctors and the nurse could to the X clinic serve consultations and could give the suggestion or the recommendation to the customer for the following maintenance. This matter gave comfort for the customer to take the decision. However, not all the customers had time that was enough to consult with the doctor. With used Free Span, one of the algorithms in the method sequential pattern mining was expected to be able to satisfy the requirement for the clinic customer of X. The use of sequential pattern mining in this recommendation system could help the doctor in increasing the recommendation, and helping the customer in taking the decision. This algorithm used the historic data the maintenance of the available customer	Journal	2014	Analisis Business Continuity, Analisis Risiko, Risk Assessment,Risk Mitigation
	Integrasi Sistem Manajemen Pergudangan dengan Sistem Akuntansi dalam Aplikasi ERP	ERP application is an application that capable to integrate various systems within a company. Warehouse Management System and Accounting System are two different systems but interconnected. Accounting Systems becomes the center of a variety of enterprise systems so that any transactions that occur in other systems such as Warehouse Management System is controlled by Accounting System. The problem that arises is each system uses different applications so to make the two systems work separately.	Journal	2014	Enterprise Resource Planning (ERP), Yii Framework, Business Architecture, Technology Architecture, Software, Agricultural Company
	Analisis Strategi Customer Relationship Management Di Pt. Xyz	PT. XYZ merupakan sebuah perusahaan yang memprioritaskan customer lama. Namun dalam pelaksanaannya, PT. XYZ belum memiliki manajemen marketing yang menunjang loyalitas customer, terutama yang menggunakan media eletronik. Hal ini bisa terlihat saat perusahaan mengadakan kegiatan. Proses pemilihan customer yang menjadi peserta masih dilakukan secara manual. Selain itu, belum ada sistem yang menangani keluhan dari customer dan penawaran produk yang diberikan kepada customer lama pun belum tersistem secara jelas, hanya berdasarkan pengetahuan dan pengalaman sales force saja. Padahal, saat ini teknologi sudah sangat berkembang dan memungkinkan hal-hal ini untuk menjadi tersistem sehingga dapat meningkatkan loyalitas customer. Hasil yang diperoleh adalah penerapan Customer Relationship Management (CRM) khususnya yang menggunakan media elektronik (e-CRM) dalam strategi marketing untuk meningkatkan loyalitas customer maupun mendapatkan	Journal	2014	
	Rancang Bangun Sales Force Automation Berbasis Android di PT. X	Dalam menjalankan proses penjualan, PT. X melakukan proses pemasukan data secara manual. Saat di lapangan, sales force harus mencatat pesanan dari para customer secara manual, dan nantinya memasukkan ulang dalam bentuk data di kantor pusat. Proses penyalinan data yang berulang menyebabkan data rentan terhadap kesalahan ketik dan tidak up-to-date karena menunggu kepulangan Sales Force yang berminggu-minggu. Permasalahan lain yaitu banyaknya kertas yang terbuang dalam proses penjualan, seperti Sales Order (SO) dan Invoice. Di samping itu, PT. X juga membutuhkan dukungan dokumen yang lengkap yang dapat digunakan oleh tenaga penjualan untuk memenuhi kebutuhan informasi customer. Dalam penelitian ini dipilihlah software Sales Force Automation (SFA) yang bekerja secara online sebagai solusi yang dapat membantu mengotomasi data penjualan. Untuk penyediaan dokumen, dikarenakan ada banyak dokumen yang harus disediakan, maka dibuatlah taksonomi bisnis untuk dokumen-dokumen tersebut. Dikarenakan software menuntut untuk dapat diakses di mana pun dan kapan pun, dipilihlah Android sebagai hardware#65533nya. Hasil yang diperoleh antara lain program bisa menampilkan, membuat, mengubah, dan menghapus data yang dibutuhkan dalam sistem penjualan serta knowledge base pada PT. X. Program admin mendukung pembuatan penilaian kerja untuk Sales Force, notifikasi, pengkalkulasian perbandingan omzet dan target serta komisi Sales Force, dan lain-lain	Journal	2014	Pengotomasian Tenaga Penjualan, Basis Pengetahuan, Taksonomi Bisnis, Android, SMS Gateway
	Software Manajemen Proyek Mechanical Electrical Di CV. Sumber Makmur Jaya Perkasa	"
CV. Sumber Makmur Jaya Perkasa atau yang biasa disingkat CV. SMJP ini bekerja di bidang Mechanical Electrical Contractor. Selama ini sistem yang digunakan oleh CV. SMJP masih menerapkan sistem manual. Rencana Anggaran Biaya (RAB), kurva “S”, pencatatan tender, dan jadwal proyek dilakukan secara manual dan dicatat dalam Microsoft Excel. Hal ini mengakibatkan membutuhkan waktu yang lama serta kurangnya efisiensi dalam analisis awal sebuah proyek yang diterima. Mengingat CV. SMJP ini mempunyai banyak proyek, penggunaan sistem yang masih manual dinilai kurang tepat dan tidak mendukung kebutuhan yang dibutuhkan perusahaan. Berlatarbelakangkan hal tersebut, penulis ingin membuat sebuah sistem komputerisasi yang baru yang akan membantu jalannya perusahaan dalam memanajemen proyeknya dengan berbasis web menggunakan PHP dan Mysql. Hasil atau output yang diperoleh dari sistem yang dibuat ini Antara lain, dapat membuat rencana anggaran dan realisasi secara otomatis, penghitungan biaya dan jadwal kerja yang membantu meminimalkan adanya pembengkakan dana dan kemoloran kerja, serta laporan-laporan yang dibutuhkan."	Journal	2014	
	Perancangan dan Pembuatan Website pada Komunitas Discerning Universitas Kristen Petra	"Dalam perkembangan teknologi saat ini, dunia internet sudah merebak dan diminati oleh masyarakat. Promosi berbagai macam barang, jasa dan informasi kini dapat dilakukan melalui media internet, dan untuk mengakses internet sangatlah mudah dan bisa dimana saja selama masih ada jaringan
Di inspirasi oleh beberapa teman dari persekutuan jurusan yang berada di universitas Kristen Petra dan ingin melengkapi kekurangan yang ada pada persekutuan-persekutuan jurusan. Maka dibentuklah sebuah komunitas yang terdiri dari mahasiswa-mahasiswa yang kritis serta rindu untuk melakukan suatu perubahan budaya di Universitas Kristen Petra. filosofi yang mendasari komunitas ini yaitu, Disciples of Jesus, concern"	Journal	2014	
	Aplikasi Sistem Informasi Akuntansi Dan Rasio Keuangan Pada PT. Karunia Prima Engineering Surabaya	PT. Karunia Prima Engineering adalah perusahaan yang bergerak di bidang distributor dari alat–alat industri seperti PLC, Inverters, Servo, HMI, Vision Sensor, dan lain–lain. Dalam kegiatannya sehari-hari PT. Karunia Prima Engineering masih menerapkan sistem manual dalam proses pencatatan transaksi dan menentukan laba rugi. Dengan sistem pencatatan yang masih manual tersebut memiliki banyak resiko. Salah satu resiko yang sering sekali terjadi adalah resiko human error. Untuk itu proses akuntansi ini harus dikomputerisasi dengan Sistem Informasi Akuntansi. Oleh karena itu, dengan mengimplementasikan Sistem Informasi Akuntansi, maka proses pencatatan akuntansi dalam perusahaan ini akan lebih terstruktur dan mengurangi human error yang dapat terjadi. Selain itu perusahaan juga dapat menganalisa kinerja dari perusahaannya apakah semakin baik ataukah semakin buruk dari periode yang sebelumnya.	Journal	2014	
Liliana, S.T., M.Eng., Ph.D.	Procedural Content Generation pada Game Tower Defense menggunakan Perlin Noise dan Algoritma Floyd Warshall	Game tower defense membutuhkan desain map, rute perjalanan musuh, dan desain wave musuh yang digunakan untuk membedakan setiap tingkat. Desain yang dirancang secara manual membutuhkan banyak tenaga dan waktu. Untuk mengatasi masalah tersebut digunakan procedural content generation untuk membuat map secara otomatis. Tidak semua konten bisa dibuat secara otomatis, beberapa konten yang didesain secara manual pada penelitian ini adalah desain portal, desain tower, desain musuh, dan desain ubin. Desain map dibuat secara otomatis menggunakan Perlin Noise untuk menentukan jenis ubin pada map dan dilakukan pengecekan letak portal pemain dan portal musuh menggunakan algoritma Floyd-Warshall untuk menentukan apakah map sudah sesuai persyaratan jarak antar portal. Hasil pengujian menunjukkan setelah dilakukan sebanyak 100 kali, 25 kali percobaan perlu diulang karena jarak antar portal tidak sesuai aturan. Rata-rata waktu pembuatan map hanya 0, 99 detik. Wave musuh pada setiap map juga berbeda-beda dari jumlah setiap jenis dan urutan musuh keluar.	Journal	2023	Procedural Content Generation, Perlin Noise, Floyd Warshall Algorithm, Tower Defense
	Pemodelan Lip Reading Bahasa Indonesia Berbasis Visem Menggunakan VGG16 serta Jaro-Winkler Similarity dan Bigram	Lip reading is a technique used to understand spoken words through visual representation of lip movements. Lip reading has many uses, such as aids for laryngectomy patients and aids for people with hearing disabilities. A research shows that 2.6% of Indonesia’s population has a hearing disability. Thus, lip reading can be a relevant solution in Indonesia. This study aims to model a viseme-based Indonesian lip reading system. The method used in this research is VGG16 which is used as a classifier and Jaro-Winkler similarity and bigram (JW-bigram) which is used as a decoder. The dataset used consists of 25 Indonesian sentences composed of 50 different words and spoken by 12 speakers. The results showed that the lip reading system made using VGG16 and JW-bigram was more effective in terms of accuracy and speed compared to other methods combinations.	Journal	2022	
	Penyuaraan Pesan Teks Media Sosial Pada Perangkat Mobile Menggunakan Text To Speech	"Penggunaan smartphone sebagai alat berkomunikasi akan semakin meningkat bersamaan dengan meningkatnya pengguna smartphone. Berdasarkan data yang didapat, pada awal tahun 2021 terdapat sekitar 167 juta pengguna smartphone di Indonesia. Penggunaan smartphone sebagai alat berkomunikasi untuk mengirim pesan dalam penggunaannya juga dapat mulai mengganggu masyarakat apabila mereka sedang beraktivitas yang membutuhkan konsentrasi, contohnya seperti berkendara. Pada tahun 2017, terdapat sekitar 15,341 kasus kecelakaan di Amerika yang disebabkan karena pengendara menggunakan smartphone. Untuk mengatasi masalah tersebut, fitur text to speech akan digunakan untuk menyuarakan pesan-pesan yang masuk tersebut sehingga pengguna smartphone tidak perlu membuka smartphone mereka untuk mengetahui pengirim dan isi pesan tersebut.
Hasil dari pengujian yang dilakukan terhadap penggunaan fitur text to speech menunjukkan bahwa sistem dapat menyuarakan pesan-pesan yang masuk dengan baik. Untuk pesan-pesan yang memiliki kata singkatan, fitur text to speech tidak dapat menyuarakannya dengan baik. Sedangkan untuk pengujian yang dilakukan terhadap fitur untuk mendeteksi pesannya, sistem dapat mendeteksi beberapa data pesan seperti nama package dari aplikasi, nama pengirim, dan juga isi pesan dengan baik. Untuk pesan yang diterima melalui obrolan grup, hasil deteksi dari aplikasi line, dan aplikasi whatsapp memiliki kekurangan, sehingga terdapat kendala dalam proses penyuaraan pesan obrolan grup pada aplikasi line dan whatsapp"	Journal	2022	
	Pengenalan Rambu Lalu Lintas di Indonesia Secara Realtime Menggunakan YOLOv4-tiny	Konsentrasi sangat dibutuhkan saat mengemudi. Pengemudi yang kehilangan konsentrasi memiliki kecepatan reaksi yang lebih lambat dan berpotensi lebih tinggi untuk melanggar rambu lalu lintas. Pelanggaran rambu merupakan tindak pidana dengan sanksi yang memberatkan. Selain itu pelanggaran rambu mengganggu kenyamanan dan membahayakan pengendara lain. Oleh karena itu, diperlukan sebuah sistem yang mampu mendeteksi rambu dengan akurat dan cepat sehingga mampu menghimbau pengemudi. Penelitian [18] menggunakan metode Mask R-CNN yang berbasis convolutional neural network dan berhasil mencapai mAP@ 50 melebihi 95%. Tetapi peneliti menggunakan rambu lalu lintas Swedia dan Slovenia yang berbeda dengan rambu lalu lintas Indonesia. Selain itu, peneliti tidak melakukan evaluasi kecepatan deteksi	Journal	2022	
